ZipCode,Latitude,Longitude,ResidenceCity,State,ResidenceCounty,Type
16820,40.89869,-77.456184,AARONSBURG,PA,CENTRE,STANDARD
29620,34.215714,-82.446307,ABBEVILLE,SC,ABBEVILLE,STANDARD
4406,45.184103,-69.233382,ABBOT,ME,PISCATAQUIS,STANDARD
54405,44.960186,-90.374893,ABBOTSFORD,WI,CLARK,STANDARD
76621,31.88454,-97.077218,ABBOTT,TX,HILL,STANDARD
17301,39.896923,-76.994725,ABBOTTSTOWN,PA,ADAMS,STANDARD
67510,38.013705,-98.169523,ABBYVILLE,KS,RENO,STANDARD
20606,38.247149,-76.748088,ABELL,MD,SAINT MARYS,STANDARD
58001,46.447936,-96.727788,ABERCROMBIE,ND,RICHLAND,PO BOX ONLY
21001,39.499909,-76.231177,ABERDEEN,MD,HARFORD,STANDARD
21005,39.477062,-76.120824,ABERDEEN PROVING GROUND,MD,HARFORD,STANDARD
35440,33.311014,-87.18975,ABERNANT,AL,TUSCALOOSA,PO BOX ONLY
79311,33.949361,-101.81782,ABERNATHY,TX,HALE,STANDARD
68001,41.332034,-96.949369,ABIE,NE,BUTLER,STANDARD
67410,38.9111,-97.195283,ABILENE,KS,DICKINSON,STANDARD
21009,39.472579,-76.277279,ABINGDON,MD,HARFORD,STANDARD
2351,42.11749,-70.959888,ABINGTON,MA,PLYMOUTH,STANDARD
87510,36.219921,-106.262778,ABIQUIU,NM,RIO ARRIBA,STANDARD
70420,30.477483,-89.955328,ABITA SPRINGS,LA,SAINT TAMMANY,STANDARD
54101,44.792284,-88.044067,ABRAMS,WI,OCONTO,STANDARD
58002,46.859694,-97.214587,ABSARAKA,ND,CASS,STANDARD
59001,45.515571,-109.455156,ABSAROKEE,MT,STILLWATER,STANDARD
8201,39.48909,-74.680323,ABSECON,NJ,ATLANTIC,STANDARD
95220,38.198666,-121.230207,ACAMPO,CA,SAN JOAQUIN,STANDARD
21520,39.58935,-79.230969,ACCIDENT,MD,GARRETT,STANDARD
20607,38.666071,-76.998396,ACCOKEEK,MD,PRINCE GEORGES,STANDARD
23301,37.712919,-75.661132,ACCOMAC,VA,ACCOMACK,STANDARD
2018,41.970474,-70.701357,ACCORD,MA,PLYMOUTH,STANDARD
25606,37.833204,-81.902401,ACCOVILLE,WV,LOGAN,PO BOX ONLY
77326,30.520924,-94.822101,ACE,TX,POLK,PO BOX ONLY
74720,33.924443,-96.264411,ACHILLE,OK,BRYAN,PO BOX ONLY
23001,37.28822,-76.426013,ACHILLES,VA,GLOUCESTER,PO BOX ONLY
79713,32.527337,-101.715971,ACKERLY,TX,DAWSON,STANDARD
39735,33.278252,-89.191298,ACKERMAN,MS,CHOCTAW,STANDARD
18010,40.693376,-75.471156,ACKERMANVILLE,PA,NORTHAMPTON,STANDARD
50601,42.408805,-93.09251,ACKLEY,IA,HARDIN,STANDARD
50001,41.384345,-93.424294,ACKWORTH,IA,WARREN,STANDARD
15610,40.120149,-79.405069,ACME,PA,WESTMORELAND,STANDARD
15520,40.113021,-79.070218,ACOSTA,PA,SOMERSET,PO BOX ONLY
12405,42.315975,-74.065515,ACRA,NY,GREENE,STANDARD
1720,42.446396,-71.459405,ACTON,MA,MIDDLESEX,STANDARD
2743,41.711894,-70.908286,ACUSHNET,MA,BRISTOL,STANDARD
3601,43.195982,-72.300075,ACWORTH,NH,SULLIVAN,STANDARD
45810,40.676042,-83.700633,ADA,OH,HARDIN,STANDARD
15410,39.912105,-79.89636,ADAH,PA,FAYETTE,STANDARD
50002,41.439109,-94.633805,ADAIR,IA,ADAIR,STANDARD
30103,34.296339,-84.909216,ADAIRSVILLE,GA,BARTOW,STANDARD
42202,36.772851,-86.860422,ADAIRVILLE,KY,LOGAN,STANDARD
99546,54.24018,-176.787412,ADAK,AK,ALEUTIANS WEST,PO BOX ONLY
5640,44.174872,-72.502235,ADAMANT,VT,WASHINGTON,STANDARD
1220,42.385595,-73.172166,ADAMS,MA,BERKSHIRE,STANDARD
14410,43.195261,-77.855883,ADAMS BASIN,NY,MONROE,STANDARD
13606,43.831853,-76.007188,ADAMS CENTER,NY,JEFFERSON,STANDARD
29426,32.779028,-80.328772,ADAMS RUN,SC,CHARLESTON,STANDARD
15611,40.303771,-79.653058,ADAMSBURG,PA,WESTMORELAND,STANDARD
19501,40.242327,-76.057696,ADAMSTOWN,PA,LANCASTER,PO BOX ONLY
2801,41.530131,-71.284066,ADAMSVILLE,RI,NEWPORT,PO BOX ONLY
62214,38.381545,-89.579449,ADDIEVILLE,IL,WASHINGTON,STANDARD
73520,34.069661,-97.838026,ADDINGTON,OK,JEFFERSON,PO BOX ONLY
70710,30.362992,-91.263088,ADDIS,LA,WEST BATON ROUGE,STANDARD
4606,45.002969,-67.495548,ADDISON,ME,WASHINGTON,STANDARD
99101,48.336378,-117.957926,ADDY,WA,STEVENS,STANDARD
45001,39.135158,-84.709797,ADDYSTON,OH,HAMILTON,PO BOX ONLY
31620,31.151742,-83.407143,ADEL,GA,COOK,STANDARD
92301,34.839964,-115.967051,ADELANTO,CA,SAN BERNARDINO,STANDARD
53001,43.658488,-87.973717,ADELL,WI,SHEBOYGAN,STANDARD
43101,39.466524,-82.754731,ADELPHI,OH,ROSS,PO BOX ONLY
7710,40.302718,-74.24928,ADELPHIA,NJ,MONMOUTH,PO BOX ONLY
43901,40.260579,-80.789377,ADENA,OH,JEFFERSON,STANDARD
35006,33.437653,-87.207592,ADGER,AL,JEFFERSON,STANDARD
96006,41.236677,-120.932949,ADIN,CA,MODOC,STANDARD
12808,43.708338,-73.794147,ADIRONDACK,NY,WARREN,STANDARD
601,18.165273,-66.722583,ADJUNTAS,PR,ADJUNTAS,STANDARD
78101,29.368735,-98.253788,ADKINS,TX,BEXAR,STANDARD
66830,38.608394,-96.108283,ADMIRE,KS,LYON,STANDARD
98522,46.571323,-123.298384,ADNA,WA,LEWIS,PO BOX ONLY
55701,47.640367,-92.442797,ADOLPH,MN,SAINT LOUIS,STANDARD
42120,36.67931,-86.17603,ADOLPHUS,KY,ALLEN,STANDARD
72001,34.943809,-92.923191,ADONA,AR,PERRY,STANDARD
16210,40.855727,-79.545145,ADRIAN,PA,ARMSTRONG,STANDARD
27006,35.945381,-80.448686,ADVANCE,NC,DAVIE,STANDARD
25231,38.824924,-81.70665,ADVENT,WV,JACKSON,STANDARD
13730,42.255147,-75.533335,AFTON,NY,CHENANGO,STANDARD
96919,13.444257,144.786297,AGANA HEIGHTS,GU,GUAM,STANDARD
57520,44.802621,-100.158903,AGAR,SD,SULLY,STANDARD
96928,13.444257,144.786297,AGAT,GU,GUAM,STANDARD
58310,48.770913,-99.772702,AGATE,ND,ROLETTE,STANDARD
1001,42.140549,-72.788661,AGAWAM,MA,HAMPDEN,STANDARD
52530,40.979036,-92.426183,AGENCY,IA,WAPELLO,STANDARD
66930,39.70438,-97.446521,AGENDA,KS,REPUBLIC,STANDARD
40801,36.865351,-83.287927,AGES BROOKSIDE,KY,HARLAN,PO BOX ONLY
97406,42.656925,-124.133206,AGNESS,OR,CURRY,STANDARD
91301,33.786594,-118.298662,AGOURA HILLS,CA,LOS ANGELES,STANDARD
67621,39.760857,-99.119565,AGRA,KS,PHILLIPS,STANDARD
78330,27.836111,-97.530388,AGUA DULCE,TX,NUECES,PO BOX ONLY
602,18.393103,-67.180953,AGUADA,PR,AGUADA,STANDARD
603,18.455913,-67.14578,AGUADILLA,PR,AGUADILLA,STANDARD
92536,33.519176,-116.802625,AGUANGA,CA,RIVERSIDE,STANDARD
703,18.250398,-66.12845,AGUAS BUENAS,PR,AGUAS BUENAS,STANDARD
85320,33.276539,-112.18717,AGUILA,AZ,MARICOPA,PO BOX ONLY
81020,37.381577,-104.653809,AGUILAR,CO,LAS ANIMAS,STANDARD
704,17.99229,-66.139253,AGUIRRE,PR,GUAYAMA,STANDARD
56430,46.862332,-94.641872,AH GWAH CHING,MN,CASS,STANDARD
49901,47.293287,-88.389708,AHMEEK,MI,KEWEENAW,PO BOX ONLY
27910,36.339311,-76.990498,AHOSKIE,NC,HERTFORD,STANDARD
83520,46.507385,-116.296141,AHSAHKA,ID,CLEARWATER,STANDARD
93601,37.379045,-119.736326,AHWAHNEE,CA,MADERA,STANDARD
705,18.128092,-66.268717,AIBONITO,PR,AIBONITO,STANDARD
96701,21.39065,-157.927829,AIEA,HI,HONOLULU,STANDARD
29801,33.554433,-81.69588,AIKEN,SC,AIKEN,STANDARD
30410,32.17966,-82.516557,AILEY,GA,MONTGOMERY,STANDARD
71401,31.596272,-91.77941,AIMWELL,LA,CATAHOULA,STANDARD
52201,41.351113,-91.581212,AINSWORTH,IA,WASHINGTON,STANDARD
17302,39.821313,-76.405931,AIRVILLE,PA,YORK,STANDARD
99001,47.643803,-117.59205,AIRWAY HEIGHTS,WA,SPOKANE,PO BOX ONLY
56431,46.563605,-93.430495,AITKIN,MN,AITKIN,STANDARD
85321,31.970131,-111.890713,AJO,AZ,PIMA,STANDARD
57420,45.29069,-99.991823,AKASKA,SD,WALWORTH,PO BOX ONLY
56433,46.987609,-94.726405,AKELEY,MN,HUBBARD,STANDARD
70421,30.612371,-90.405312,AKERS,LA,TANGIPAHOA,STANDARD
99551,60.314735,-163.118947,AKIACHAK,AK,BETHEL,PO BOX ONLY
99552,60.314735,-163.118947,AKIAK,AK,BETHEL,PO BOX ONLY
62805,37.994296,-88.941665,AKIN,IL,FRANKLIN,PO BOX ONLY
14001,43.013808,-78.525296,AKRON,NY,ERIE,STANDARD
99553,55.430594,-162.55813,AKUTAN,AK,ALEUTIANS EAST,PO BOX ONLY
14003,42.998052,-78.184813,ALABAMA,NY,GENESEE,PO BOX ONLY
35007,33.193415,-86.794377,ALABASTER,AL,SHELBY,STANDARD
32615,29.813456,-82.472049,ALACHUA,FL,ALACHUA,STANDARD
82710,44.738184,-104.288519,ALADDIN,WY,CROOK,STANDARD
99554,62.117231,-163.237636,ALAKANUK,AK,WADE HAMPTON,PO BOX ONLY
27201,36.031836,-79.485643,ALAMANCE,NC,ALAMANCE,PO BOX ONLY
94501,37.770563,-122.264779,ALAMEDA,CA,ALAMEDA,STANDARD
30411,32.143021,-82.82677,ALAMO,GA,WHEELER,STANDARD
88310,32.870046,-105.948967,ALAMOGORDO,NM,OTERO,STANDARD
81101,37.479933,-105.790967,ALAMOSA,CO,ALAMOSA,STANDARD
79002,35.432839,-100.746559,ALANREED,TX,GRAY,PO BOX ONLY
49706,45.539802,-84.805792,ALANSON,MI,EMMET,STANDARD
31622,31.383968,-83.221348,ALAPAHA,GA,BERRIEN,STANDARD
16910,41.77197,-76.521266,ALBA,PA,BRADFORD,PO BOX ONLY
5820,44.741679,-72.364639,ALBANY,VT,ORLEANS,STANDARD
28001,35.319817,-80.253448,ALBEMARLE,NC,STANLY,STANDARD
62215,38.514316,-89.627154,ALBERS,IL,CLINTON,STANDARD
67511,38.420451,-98.913448,ALBERT,KS,BARTON,STANDARD
50510,42.735002,-95.151118,ALBERT CITY,IA,BUENA VISTA,STANDARD
56007,43.686288,-93.389838,ALBERT LEA,MN,FREEBORN,STANDARD
23821,36.858078,-77.894632,ALBERTA,VA,BRUNSWICK,STANDARD
59820,46.989275,-114.558456,ALBERTON,MT,MINERAL,STANDARD
11507,40.754757,-73.601772,ALBERTSON,NY,NASSAU,STANDARD
35950,34.314291,-86.242033,ALBERTVILLE,AL,MARSHALL,STANDARD
52531,41.00004,-92.835186,ALBIA,IA,MONROE,STANDARD
82050,41.335468,-104.249495,ALBIN,WY,LARAMIE,STANDARD
2802,41.954098,-71.462053,ALBION,RI,PROVIDENCE,PO BOX ONLY
55702,47.014861,-92.612312,ALBORN,MN,SAINT LOUIS,STANDARD
26519,39.516364,-79.617653,ALBRIGHT,WV,PRESTON,STANDARD
18210,41.012618,-75.560751,ALBRIGHTSVILLE,PA,CARBON,STANDARD
87101,35.199592,-106.644831,ALBUQUERQUE,NM,BERNALILLO,STANDARD
5440,44.93606,-73.289065,ALBURG,VT,GRAND ISLE,STANDARD
52202,42.157086,-91.645825,ALBURNETT,IA,LINN,STANDARD
18011,40.514472,-75.602941,ALBURTIS,PA,LEHIGH,STANDARD
87511,36.064687,-106.077688,ALCALDE,NM,RIO ARRIBA,PO BOX ONLY
57001,42.931698,-96.624298,ALCESTER,SD,UNION,STANDARD
